rating,track_1,artist_1,album_1,uri_1,track_2,artist_2,album_2,uri_2,is_pop
0.5,Everyday is a Winding Road,Sheryl Crow,,spotify:track:0t6DAi9KEiaWOtgTTXGhD2,All I Wanna Do,Sheryl Crow,,spotify:track:3ZpQiJ78LKINrW9SQTgbXd,
0.5,Superman,Five for Fighting,,spotify:track:3TwtrR1yNLY1PMPsrGQpOp,She Will Be Loved,Maroon 5,,spotify:track:7sapKrjDij2fpDVj0GxP66,
0.5,Say,John Mayer,,spotify:track:6wZI4mdT8JwXgkGURnBQiq,High,James Blunt,,spotify:track:13yEuYLJYxPCLJR0KNOqpk,
0.5,High,James Blunt,,spotify:track:13yEuYLJYxPCLJR0KNOqpk,Marry Me,Train,,spotify:track:2MWOqewf5j0qf2b6S5J6cS,
0.5,2012 (It Ain't the End),Jay Sean,,spotify:track:1ERCOXHQcoLSTlgmNTlcrR,Shit on the Radio,Nelly Furtado,,spotify:track:2sFwP3sgdxvJrGtE5YWGGT,
0.5,Hero,Enrique Inglesias,,spotify:track:24Gxm7Eh7tO83E26LG0CsY,Big Girls Don't Cry,Fergie,,spotify:track:3Q4WeJmzxuDpzMu9QjQqbM,
0.5,Hero,Enrique Inglesias,,spotify:track:24Gxm7Eh7tO83E26LG0CsY,Wait for You,Elliott Yamin,,spotify:track:0U969xYNlAyfzi8P1TaO7u,
0.5,Dancing With A Stranger (with Normani),"Sam Smith, Normani",,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,7 rings,Ariana Grande,,spotify:track:14msK75pk3pA33pzPVNtBF,
0.5,You Say,Lauren Daigle,,spotify:track:6Up545NUflOiXo8cEraH49,Fight Song,Rachel Platten,,spotify:track:37f4ITSlgPX81ad2EvmVQr,
0.5,The Greatest Show,Hugh Jackman,,spotify:track:4ylWMuGbMXNDgDd8lErEle,From Now On,Hugh Jackman,,spotify:track:3IkWmgGsXbsafrunwPojXO,
